,zipcode,city,state,metro,county,month,avg_house_size_sales,avg_house_size_rental
28,20009,Washington,DC,Washington,District of Columbia,1.0,852.3346352,809.0696149
29,20009,Washington,DC,Washington,District of Columbia,2.0,816.1625022999999,808.7348984
30,20009,Washington,DC,Washington,District of Columbia,3.0,823.0387258,826.3307371000001
31,20009,Washington,DC,Washington,District of Columbia,4.0,860.2747541000001,827.3018797999999
32,20009,Washington,DC,Washington,District of Columbia,5.0,837.7136659,811.6016658
33,20009,Washington,DC,Washington,District of Columbia,6.0,836.2432570000001,823.9165152
34,20009,Washington,DC,Washington,District of Columbia,7.0,821.9829208,815.8061927
35,10003,New York,NY,New York,New York,1.0,1018.867476,0.0
36,10003,New York,NY,New York,New York,2.0,1050.514065,0.0
37,10003,New York,NY,New York,New York,3.0,1043.8440699999999,0.0
38,10003,New York,NY,New York,New York,4.0,1071.885046,0.0
39,10003,New York,NY,New York,New York,5.0,1042.342353,0.0
40,10003,New York,NY,New York,New York,6.0,1034.88491,0.0
41,10003,New York,NY,New York,New York,7.0,1061.891102,0.0
42,7030,Hoboken,NJ,New York,Hudson,1.0,1270.3062730000001,952.139273
43,7030,Hoboken,NJ,New York,Hudson,2.0,1283.853635,911.2463472999999
44,7030,Hoboken,NJ,New York,Hudson,3.0,1258.345998,929.3020474
45,7030,Hoboken,NJ,New York,Hudson,4.0,1298.3743650000001,927.8867898
46,7030,Hoboken,NJ,New York,Hudson,5.0,1281.608521,904.3882929
47,7030,Hoboken,NJ,New York,Hudson,6.0,1275.59338,915.9941104000001
48,7030,Hoboken,NJ,New York,Hudson,7.0,1252.13346,939.4740214
49,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,1.0,2000.026636,1423.3385460000002
50,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.0,1928.1541,1410.556342
51,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,3.0,1920.526078,1424.016325
52,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,4.0,1913.2307260000002,1432.372259
53,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,5.0,1983.4985940000001,1427.770046
54,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,6.0,2004.9393,1425.3240150000001
55,33160,Sunny Isles Beach,FL,Miami-Fort Lauderdale,Miami-Dade,7.0,1989.914024,1443.649069
56,10019,New York,NY,New York,New York,1.0,817.6922481,897.100681
57,10019,New York,NY,New York,New York,2.0,766.240713,885.1398098999999
58,10019,New York,NY,New York,New York,3.0,687.6267748,863.5754325999999
59,10019,New York,NY,New York,New York,4.0,766.4071190000001,863.6088166000001
60,10019,New York,NY,New York,New York,5.0,680.9909091,855.3698714999999
61,10019,New York,NY,New York,New York,6.0,724.2407407000001,879.0716446
62,10019,New York,NY,New York,New York,7.0,737.4860957000001,890.4954618999999
63,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,1.0,1885.911682,1432.982276
64,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,2.0,1881.327937,1448.1694109999999
65,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,3.0,1873.188931,1405.652223
66,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,4.0,1896.2358530000001,1462.218933
67,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,5.0,1907.3987170000003,1456.509662
68,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,6.0,1875.6666539999999,1450.297552
69,33411,Royal Palm Beach,FL,Miami-Fort Lauderdale,Palm Beach,7.0,1881.973741,1458.0760400000001
70,33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,1.0,2536.349819,888.989899
71,33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.0,2597.152822,893.8881048000001
72,33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,3.0,2616.0582059999997,886.5751498
73,33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,4.0,2596.439665,888.3673469
74,33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,5.0,2667.421093,890.91
75,33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,6.0,2581.419689,869.6762082
76,33139,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,7.0,2464.87587,875.5950142999999
77,11211,New York,NY,New York,Kings,1.0,869.8056296,841.1120970000001
78,11211,New York,NY,New York,Kings,2.0,874.8908241,837.5081958
79,11211,New York,NY,New York,Kings,3.0,873.8586683,828.2937245
80,11211,New York,NY,New York,Kings,4.0,845.8110512000001,819.7252807
81,11211,New York,NY,New York,Kings,5.0,822.5410353999999,829.1190278
82,11211,New York,NY,New York,Kings,6.0,845.0701888,834.1136521000001
83,11211,New York,NY,New York,Kings,7.0,868.8501589,811.2886762
84,33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,1.0,1248.959939,1247.605281
85,33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,2.0,1256.292193,1242.034188
86,33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,3.0,1261.171258,1217.43461
87,33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,4.0,1292.833025,1204.602326
88,33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,5.0,1318.903476,1201.077986
89,33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,6.0,1301.114368,1189.3461539999998
90,33009,Hallandale,FL,Miami-Fort Lauderdale,Broward,7.0,1271.979409,1241.742424
91,33908,Fort Myers,FL,Fort Myers,Lee,1.0,1599.760408,1696.2320960000002
92,33908,Fort Myers,FL,Fort Myers,Lee,2.0,1621.794018,1511.0420000000001
93,33908,Fort Myers,FL,Fort Myers,Lee,3.0,1616.22468,1645.060898
94,33908,Fort Myers,FL,Fort Myers,Lee,4.0,1680.904592,1665.29657
95,33908,Fort Myers,FL,Fort Myers,Lee,5.0,1654.4344939999999,1672.046912
96,33908,Fort Myers,FL,Fort Myers,Lee,6.0,1651.336891,1684.153597
97,33908,Fort Myers,FL,Fort Myers,Lee,7.0,1657.253095,1687.273624
98,7302,Jersey City,NJ,New York,Hudson,1.0,996.8770701999999,1037.278267
99,7302,Jersey City,NJ,New York,Hudson,2.0,965.9083542999999,1044.9439929999999
100,7302,Jersey City,NJ,New York,Hudson,3.0,894.1966754000001,1033.658558
101,7302,Jersey City,NJ,New York,Hudson,4.0,901.4214314999999,1030.664422
102,7302,Jersey City,NJ,New York,Hudson,5.0,897.8326548,1056.6882460000002
103,7302,Jersey City,NJ,New York,Hudson,6.0,896.5811047,1090.1983810000002
104,7302,Jersey City,NJ,New York,Hudson,7.0,931.9143383999999,1089.150592
105,92101,San Diego,CA,San Diego,San Diego,1.0,1009.556016,931.5094293
106,92101,San Diego,CA,San Diego,San Diego,2.0,988.4805026,940.9679662000001
107,92101,San Diego,CA,San Diego,San Diego,3.0,986.6743195,924.9497892999999
108,92101,San Diego,CA,San Diego,San Diego,4.0,992.5263484999999,955.5969376
109,92101,San Diego,CA,San Diego,San Diego,5.0,1003.404783,928.6658082999999
110,92101,San Diego,CA,San Diego,San Diego,6.0,1039.327237,943.8501359999999
111,92101,San Diego,CA,San Diego,San Diego,7.0,1024.1989529999998,946.2264831
112,11372,New York,NY,New York,Queens,1.0,0.0,0.0
113,11372,New York,NY,New York,Queens,2.0,0.0,0.0
114,11372,New York,NY,New York,Queens,3.0,0.0,0.0
115,11372,New York,NY,New York,Queens,4.0,0.0,0.0
116,11372,New York,NY,New York,Queens,5.0,0.0,0.0
117,11372,New York,NY,New York,Queens,6.0,0.0,0.0
118,11372,New York,NY,New York,Queens,7.0,0.0,0.0
119,20001,Washington,DC,Washington,District of Columbia,1.0,1103.721105,1097.295333
120,20001,Washington,DC,Washington,District of Columbia,2.0,1140.273656,1092.979451
121,20001,Washington,DC,Washington,District of Columbia,3.0,1178.847682,1088.819366
122,20001,Washington,DC,Washington,District of Columbia,4.0,1125.4539,1108.243953
123,20001,Washington,DC,Washington,District of Columbia,5.0,1137.1693,1074.1881019999998
124,20001,Washington,DC,Washington,District of Columbia,6.0,1101.337787,1084.9011050000001
125,20001,Washington,DC,Washington,District of Columbia,7.0,1131.687564,1088.391349
126,33027,Miramar,FL,Miami-Fort Lauderdale,Broward,1.0,1286.316269,1922.131304
127,33027,Miramar,FL,Miami-Fort Lauderdale,Broward,2.0,1290.4368880000002,1891.6207
128,33027,Miramar,FL,Miami-Fort Lauderdale,Broward,3.0,1274.107068,1894.182057
129,33027,Miramar,FL,Miami-Fort Lauderdale,Broward,4.0,1271.746504,1895.461404
130,33027,Miramar,FL,Miami-Fort Lauderdale,Broward,5.0,1268.000317,1911.605982
131,33027,Miramar,FL,Miami-Fort Lauderdale,Broward,6.0,1269.316442,1946.111361
132,33027,Miramar,FL,Miami-Fort Lauderdale,Broward,7.0,1292.796471,1891.6146390000001
133,33063,Margate,FL,Miami-Fort Lauderdale,Broward,1.0,1187.055272,1052.977844
134,33063,Margate,FL,Miami-Fort Lauderdale,Broward,2.0,1194.793992,1036.181266
135,33063,Margate,FL,Miami-Fort Lauderdale,Broward,3.0,1209.480532,1094.770541
136,33063,Margate,FL,Miami-Fort Lauderdale,Broward,4.0,1186.734522,1136.991573
137,33063,Margate,FL,Miami-Fort Lauderdale,Broward,5.0,1190.68122,1092.154448
138,33063,Margate,FL,Miami-Fort Lauderdale,Broward,6.0,1185.834048,1123.95587
139,33063,Margate,FL,Miami-Fort Lauderdale,Broward,7.0,1165.904966,1063.2020289999998
140,10701,Yonkers,NY,New York,Westchester,1.0,908.5119048,928.0305717
141,10701,Yonkers,NY,New York,Westchester,2.0,933.7598654,938.1513484
142,10701,Yonkers,NY,New York,Westchester,3.0,919.7347629000001,941.1561787999999
143,10701,Yonkers,NY,New York,Westchester,4.0,966.3600708999999,926.6406882000001
144,10701,Yonkers,NY,New York,Westchester,5.0,984.8395494999999,949.3168111
145,10701,Yonkers,NY,New York,Westchester,6.0,961.8217053999999,937.2049242999999
146,10701,Yonkers,NY,New York,Westchester,7.0,961.3190927999999,906.4086143
147,33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,1.0,853.3505613,1046.757576
148,33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,2.0,849.2967333999999,1064.173204
149,33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,3.0,860.7263452,1051.909091
150,33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,4.0,862.9170198999999,1048.322917
151,33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,5.0,881.0878885,1063.645392
152,33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,6.0,863.9517074999999,1052.319756
153,33313,Lauderhill,FL,Miami-Fort Lauderdale,Broward,7.0,839.9810150000001,1043.820817
154,7087,Union City,NJ,New York,Hudson,1.0,1261.823848,902.3465162
155,7087,Union City,NJ,New York,Hudson,2.0,1182.4167,883.3602581
156,7087,Union City,NJ,New York,Hudson,3.0,1243.350279,876.2016379
157,7087,Union City,NJ,New York,Hudson,4.0,1187.884972,873.3992986999999
158,7087,Union City,NJ,New York,Hudson,5.0,1124.119241,932.5825335000001
159,7087,Union City,NJ,New York,Hudson,6.0,1246.477612,886.8057999
160,7087,Union City,NJ,New York,Hudson,7.0,1259.926984,907.5896811000001
161,77057,Houston,TX,Houston,Harris,1.0,1966.61717,1956.909091
162,77057,Houston,TX,Houston,Harris,2.0,1963.5849420000002,1929.29605
163,77057,Houston,TX,Houston,Harris,3.0,2007.582407,2108.288136
164,77057,Houston,TX,Houston,Harris,4.0,2021.581749,2011.4545449999998
165,77057,Houston,TX,Houston,Harris,5.0,2080.8256530000003,1969.92
166,77057,Houston,TX,Houston,Harris,6.0,2169.139146,2128.751527
167,77057,Houston,TX,Houston,Harris,7.0,2064.895877,2102.654405
168,33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,1.0,1195.719264,1158.995837
169,33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,2.0,1207.447667,1116.791635
170,33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,3.0,1228.7022869999998,1100.18527
171,33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,4.0,1183.313464,1127.4128
172,33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,5.0,1199.204306,1134.135016
173,33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,6.0,1210.0385,1128.10254
174,33319,Lauderhill,FL,Miami-Fort Lauderdale,Broward,7.0,1173.647559,1131.796384
175,33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,1.0,1301.291381,1092.95985
176,33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,2.0,1278.453208,1136.776537
177,33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,3.0,1305.5882119999999,1124.268309
178,33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,4.0,1300.435125,1102.73115
179,33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,5.0,1296.029272,1122.407963
180,33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,6.0,1307.84491,1118.514629
181,33321,Tamarac,FL,Miami-Fort Lauderdale,Broward,7.0,1322.619209,1108.905389
182,90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,1.0,865.1649938999999,817.4884402
183,90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,2.0,840.2495213999999,834.4475413
184,90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,3.0,848.9689245999999,860.6977024
185,90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,4.0,882.6879292000001,800.8447497000001
186,90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,5.0,922.8878648,827.6452559999999
187,90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,6.0,950.0172157,823.5152393999999
188,90802,Long Beach,CA,Los Angeles-Long Beach-Anaheim,Los Angeles,7.0,934.9473892000001,828.5580711
189,33141,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,1.0,1389.879101,1244.380176
190,33141,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,2.0,1376.7352560000002,1231.799663
191,33141,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,3.0,1383.896497,1236.968635
192,33141,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,4.0,1407.302354,1239.398636
193,33141,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,5.0,1381.482232,1265.3449449999998
194,33141,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,6.0,1375.373017,1235.588976
195,33141,Miami Beach,FL,Miami-Fort Lauderdale,Miami-Dade,7.0,1367.50801,1215.943405
196,96815,Honolulu,HI,Urban Honolulu,Honolulu,1.0,815.7501914,771.0955321
197,96815,Honolulu,HI,Urban Honolulu,Honolulu,2.0,798.8549735,730.8464389
198,96815,Honolulu,HI,Urban Honolulu,Honolulu,3.0,778.5519897999999,747.5074139999999
199,96815,Honolulu,HI,Urban Honolulu,Honolulu,4.0,780.0337024,745.2502195000001
200,96815,Honolulu,HI,Urban Honolulu,Honolulu,5.0,797.7936535,769.8339106000001
201,96815,Honolulu,HI,Urban Honolulu,Honolulu,6.0,790.4653053999999,761.6904762
202,96815,Honolulu,HI,Urban Honolulu,Honolulu,7.0,795.0141388,733.4009308
203,8759,Manchester,NJ,New York,Ocean,1.0,1033.066667,0.0
204,8759,Manchester,NJ,New York,Ocean,2.0,1024.390244,0.0
205,8759,Manchester,NJ,New York,Ocean,3.0,1086.64776,0.0
206,8759,Manchester,NJ,New York,Ocean,4.0,1100.803402,0.0
207,8759,Manchester,NJ,New York,Ocean,5.0,1058.579109,0.0
208,8759,Manchester,NJ,New York,Ocean,6.0,1144.025255,0.0
209,8759,Manchester,NJ,New York,Ocean,7.0,1144.0677970000002,0.0
210,33021,Hollywood,FL,Miami-Fort Lauderdale,Broward,1.0,1658.916317,1127.941286
211,33021,Hollywood,FL,Miami-Fort Lauderdale,Broward,2.0,1672.001336,1147.8128609999999
212,33021,Hollywood,FL,Miami-Fort Lauderdale,Broward,3.0,1656.42669,1124.5706630000002
213,33021,Hollywood,FL,Miami-Fort Lauderdale,Broward,4.0,1691.426906,1135.623156
214,33021,Hollywood,FL,Miami-Fort Lauderdale,Broward,5.0,1674.802482,1140.810766
215,33021,Hollywood,FL,Miami-Fort Lauderdale,Broward,6.0,1637.888175,1136.189541
216,33021,Hollywood,FL,Miami-Fort Lauderdale,Broward,7.0,1654.371731,1140.656889
217,7047,North Bergen,NJ,New York,Hudson,1.0,692.0281443,0.0
218,7047,North Bergen,NJ,New York,Hudson,2.0,677.382046,0.0
219,7047,North Bergen,NJ,New York,Hudson,3.0,652.6768802,0.0
220,7047,North Bergen,NJ,New York,Hudson,4.0,656.0627675,0.0
221,7047,North Bergen,NJ,New York,Hudson,5.0,666.0,0.0
222,7047,North Bergen,NJ,New York,Hudson,6.0,677.6595745,0.0
223,7047,North Bergen,NJ,New York,Hudson,7.0,649.245283,0.0
224,22201,Arlington,VA,Washington,Arlington,1.0,923.5331532,1120.587933
225,22201,Arlington,VA,Washington,Arlington,2.0,940.9596556,1084.644348
226,22201,Arlington,VA,Washington,Arlington,3.0,920.4926583999999,1103.090697
227,22201,Arlington,VA,Washington,Arlington,4.0,930.1085621,1132.864964
228,22201,Arlington,VA,Washington,Arlington,5.0,952.4725818,1130.657252
229,22201,Arlington,VA,Washington,Arlington,6.0,958.2928713,1102.062168
230,22201,Arlington,VA,Washington,Arlington,7.0,953.5930286,1080.9574810000001
231,33308,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,1.0,1452.134059,1225.0
232,33308,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,2.0,1432.477598,1172.413793
233,33308,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,3.0,1455.681801,1157.7586210000002
234,33308,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,4.0,1441.5496,1203.3980000000001
235,33308,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,5.0,1425.812071,1140.652174
236,33308,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,6.0,1473.688273,1154.063478
237,33308,Fort Lauderdale,FL,Miami-Fort Lauderdale,Broward,7.0,1448.957962,1182.5
238,33020,Hollywood,FL,Miami-Fort Lauderdale,Broward,1.0,1148.0090089999999,1091.690931
239,33020,Hollywood,FL,Miami-Fort Lauderdale,Broward,2.0,1135.2466570000001,1070.020202
240,33020,Hollywood,FL,Miami-Fort Lauderdale,Broward,3.0,1126.444184,1082.298611
241,33020,Hollywood,FL,Miami-Fort Lauderdale,Broward,4.0,1159.913031,1097.196434
242,33020,Hollywood,FL,Miami-Fort Lauderdale,Broward,5.0,1122.8522699999999,1080.1668630000001
243,33020,Hollywood,FL,Miami-Fort Lauderdale,Broward,6.0,1115.994282,1043.681818
244,33020,Hollywood,FL,Miami-Fort Lauderdale,Broward,7.0,1118.396496,1023.443921
245,33322,Sunrise,FL,Miami-Fort Lauderdale,Broward,1.0,1073.667332,1115.820267
246,33322,Sunrise,FL,Miami-Fort Lauderdale,Broward,2.0,1092.845169,1156.209468
247,33322,Sunrise,FL,Miami-Fort Lauderdale,Broward,3.0,1129.612855,1169.71532
248,33322,Sunrise,FL,Miami-Fort Lauderdale,Broward,4.0,1132.75795,1153.8400609999999
249,33322,Sunrise,FL,Miami-Fort Lauderdale,Broward,5.0,1139.0952849999999,1174.0504349999999
250,33322,Sunrise,FL,Miami-Fort Lauderdale,Broward,6.0,1133.491487,1174.089894
251,33322,Sunrise,FL,Miami-Fort Lauderdale,Broward,7.0,1115.6755890000002,1171.2593689999999
252,33178,Doral,FL,Miami-Fort Lauderdale,Miami-Dade,1.0,1969.8910809999998,1799.542314
253,33178,Doral,FL,Miami-Fort Lauderdale,Miami-Dade,2.0,1932.1054989999998,1814.5984640000001
254,33178,Doral,FL,Miami-Fort Lauderdale,Miami-Dade,3.0,1900.3686719999998,1842.830339
255,33178,Doral,FL,Miami-Fort Lauderdale,Miami-Dade,4.0,1960.459384,1843.7015440000002
256,33178,Doral,FL,Miami-Fort Lauderdale,Miami-Dade,5.0,1945.000678,1823.4370989999998
257,33178,Doral,FL,Miami-Fort Lauderdale,Miami-Dade,6.0,1932.0512600000002,1846.6636460000002
258,33178,Doral,FL,Miami-Fort Lauderdale,Miami-Dade,7.0,1911.402445,1820.347793
259,33062,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,1.0,1449.595364,1002.69202
260,33062,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,2.0,1494.104306,970.9621887
261,33062,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,3.0,1463.990482,961.210601
262,33062,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,4.0,1470.294277,959.3698663999999
263,33062,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,5.0,1479.9736580000001,951.3097123
264,33062,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,6.0,1459.411233,959.8310131000001
265,33062,Pompano Beach,FL,Miami-Fort Lauderdale,Broward,7.0,1451.912747,930.8562197000001
266,29910,Bluffton,SC,Hilton Head Island,Beaufort,1.0,2610.451729,0.0
267,29910,Bluffton,SC,Hilton Head Island,Beaufort,2.0,2441.24958,0.0
268,29910,Bluffton,SC,Hilton Head Island,Beaufort,3.0,2378.7384190000002,0.0
269,29910,Bluffton,SC,Hilton Head Island,Beaufort,4.0,2411.179489,0.0
270,29910,Bluffton,SC,Hilton Head Island,Beaufort,5.0,2369.252076,0.0
271,29910,Bluffton,SC,Hilton Head Island,Beaufort,6.0,2418.062672,0.0
272,29910,Bluffton,SC,Hilton Head Island,Beaufort,7.0,2334.926198,0.0
273,75219,Dallas,TX,Dallas-Fort Worth,Dallas,1.0,1662.275159,1379.451321
274,75219,Dallas,TX,Dallas-Fort Worth,Dallas,2.0,1709.927534,1355.189567
275,75219,Dallas,TX,Dallas-Fort Worth,Dallas,3.0,1651.240409,1342.719399
276,75219,Dallas,TX,Dallas-Fort Worth,Dallas,4.0,1638.0578130000001,1300.245281
277,75219,Dallas,TX,Dallas-Fort Worth,Dallas,5.0,1632.609185,1325.6839699999998
278,75219,Dallas,TX,Dallas-Fort Worth,Dallas,6.0,1595.143461,1328.02599
279,75219,Dallas,TX,Dallas-Fort Worth,Dallas,7.0,1631.9338089999999,1316.290048
280,19103,Philadelphia,PA,Philadelphia,Philadelphia,1.0,1059.027642,911.2426906
281,19103,Philadelphia,PA,Philadelphia,Philadelphia,2.0,1066.591435,904.5761424000001
282,19103,Philadelphia,PA,Philadelphia,Philadelphia,3.0,1052.799462,908.7316827999999
283,19103,Philadelphia,PA,Philadelphia,Philadelphia,4.0,1084.684633,880.4180535
284,19103,Philadelphia,PA,Philadelphia,Philadelphia,5.0,1069.333689,871.8527311
285,19103,Philadelphia,PA,Philadelphia,Philadelphia,6.0,1037.021129,881.3619056
286,19103,Philadelphia,PA,Philadelphia,Philadelphia,7.0,1032.901586,861.4912954
287,33442,Deerfield Beach,FL,Miami-Fort Lauderdale,Broward,1.0,1124.524607,1297.9551470000001
288,33442,Deerfield Beach,FL,Miami-Fort Lauderdale,Broward,2.0,1127.725677,1281.602475
289,33442,Deerfield Beach,FL,Miami-Fort Lauderdale,Broward,3.0,1159.427467,1291.951872
290,33442,Deerfield Beach,FL,Miami-Fort Lauderdale,Broward,4.0,1163.981757,1299.227532
291,33442,Deerfield Beach,FL,Miami-Fort Lauderdale,Broward,5.0,1188.1011119999998,1324.4990050000001
292,33442,Deerfield Beach,FL,Miami-Fort Lauderdale,Broward,6.0,1185.16672,1294.376983
293,33442,Deerfield Beach,FL,Miami-Fort Lauderdale,Broward,7.0,1155.9527449999998,1296.020027
294,33415,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,1.0,1103.396765,1176.033946
295,33415,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,2.0,1093.548942,1177.311008
296,33415,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,3.0,1087.569086,1173.007143
297,33415,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,4.0,1069.518855,1206.349441
298,33415,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,5.0,1073.536079,1209.614519
299,33415,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,6.0,1066.293347,1189.0
300,33415,Greenacres,FL,Miami-Fort Lauderdale,Palm Beach,7.0,1038.828866,1206.944444
301,33180,Aventura,FL,Miami-Fort Lauderdale,Miami-Dade,1.0,1786.949325,1276.4494300000001
302,33180,Aventura,FL,Miami-Fort Lauderdale,Miami-Dade,2.0,1795.2277370000002,1264.583047
303,33180,Aventura,FL,Miami-Fort Lauderdale,Miami-Dade,3.0,1770.058723,1267.831355
304,33180,Aventura,FL,Miami-Fort Lauderdale,Miami-Dade,4.0,1786.852107,1268.49617
305,33180,Aventura,FL,Miami-Fort Lauderdale,Miami-Dade,5.0,1778.032495,1255.507538
306,33180,Aventura,FL,Miami-Fort Lauderdale,Miami-Dade,6.0,1780.5492579999998,1250.3984189999999
307,33180,Aventura,FL,Miami-Fort Lauderdale,Miami-Dade,7.0,1790.3311010000002,1249.319957
308,96822,Honolulu,HI,Urban Honolulu,Honolulu,1.0,711.9221592,652.8640867
309,96822,Honolulu,HI,Urban Honolulu,Honolulu,2.0,703.8858353999999,626.8312778
310,96822,Honolulu,HI,Urban Honolulu,Honolulu,3.0,676.7601103,622.3012406
311,96822,Honolulu,HI,Urban Honolulu,Honolulu,4.0,669.2747113,613.0381434999999
